"success","timeout","failed_images","failed_audio","failed_video","task","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","participant_ID","view_history","rt","response","stimulus","image1","image2","image3","real_word","correct_choice","choices"
"true","false","[]","[]","[]","preload","preload","0","25","0.0-0.0","1","1","2024-04-09 07:19:40","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","4cedqr4h6pe","","","","","","","","","",""
"","","","","","instructions","instructions","1","2403","0.0-1.0","1","1","2024-04-09 07:19:40","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","4cedqr4h6pe","[{""page_index"":0,""viewing_time"":1479},{""page_index"":1,""viewing_time"":898}]","2377","","","","","","","",""
"","","","","","consent","instructions","2","3192","0.0-2.0","1","1","2024-04-09 07:19:40","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","4cedqr4h6pe","[{""page_index"":0,""viewing_time"":789}]","789","","","","","","","",""
"","","","","","demographics","survey-html-form","3","29955","0.0-3.0","1","1","2024-04-09 07:19:40","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","4cedqr4h6pe","","26758","{""Q1"":""a"",""Q2"":""99"",""Q3"":""a@test.com"",""Q4"":""a"",""Q5"":""b"",""feedback_comments"":""asdkjdfbk fksjdhgf kjsh kdjsfh ksdfhkjsdfh kjfsdh dksjfh kjdhf ksksdjhf kjhfs dkjsdfh kdskh ksjdhf kjdhf ksdjfh kdshfkj""}","","","","","","",""
"","","","","","fixation","html-keyboard-response","4","31961","0.0-4.0-0.0","1","1","2024-04-09 07:19:40","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","4cedqr4h6pe","","null","null","<div style=""font-size:30pt;"">+</div>","","","","","",""
"","","","","","lexical_decision","audio-button-response","5","35364","0.0-4.0-1.0","1","1","2024-04-09 07:19:40","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","4cedqr4h6pe","","3365","0","pea.wav","heart.png","pea.png","chair.png","yes","pea.png","[""chair.png"",""pea.png"",""heart.png""]"
"","","","","","fixation","html-keyboard-response","6","37368","0.0-4.0-0.1","1","1","2024-04-09 07:19:40","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","4cedqr4h6pe","","null","null","<div style=""font-size:30pt;"">+</div>","","","","","",""
"","","","","","lexical_decision","audio-button-response","7","37970","0.0-4.0-1.1","1","1","2024-04-09 07:19:40","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","4cedqr4h6pe","","603","1","pxa.wav","pumpkin.png","heart.png","pea.png","no","pea.png","[""pea.png"",""heart.png"",""pumpkin.png""]"
"","","","","","fixation","html-keyboard-response","8","39973","0.0-4.0-0.2","1","1","2024-04-09 07:19:40","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","4cedqr4h6pe","","null","null","<div style=""font-size:30pt;"">+</div>","","","","","",""
"","","","","","lexical_decision","audio-button-response","9","41636","0.0-4.0-1.2","1","1","2024-04-09 07:19:40","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","4cedqr4h6pe","","1664","2","sheep.wav","sheep.png","cheese.png","fox.png","yes","sheep.png","[""fox.png"",""cheese.png"",""sheep.png""]"
