"success","timeout","failed_images","failed_audio","failed_video","task","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","participant_ID","view_history","rt","response","stimulus","image1","image2","image3","real_word","correct_choice","choices"
"true","false","[]","[]","[]","preload","preload","0","46","0.0-0.0","4","1","2024-04-09 07:23:14","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","8o34ygt6clr","","","","","","","","","",""
"","","","","","instructions","instructions","1","1859","0.0-1.0","4","1","2024-04-09 07:23:14","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","8o34ygt6clr","[{""page_index"":0,""viewing_time"":779},{""page_index"":1,""viewing_time"":1033}]","1812","","","","","","","",""
"","","","","","consent","instructions","2","2342","0.0-2.0","4","1","2024-04-09 07:23:14","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","8o34ygt6clr","[{""page_index"":0,""viewing_time"":482}]","482","","","","","","","",""
"","","","","","demographics","survey-html-form","3","14615","0.0-3.0","4","1","2024-04-09 07:23:14","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","8o34ygt6clr","","12268","{""Q1"":""d"",""Q2"":""99"",""Q3"":""skdjfhlkdhf@test.com"",""Q4"":""a"",""Q5"":""a"",""feedback_comments"":""kjdshfkj hdfskjh fkjsdhf skdjfh""}","","","","","","",""
"","","","","","fixation","html-keyboard-response","4","16619","0.0-4.0-0.0","4","1","2024-04-09 07:23:14","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","8o34ygt6clr","","null","null","<div style=""font-size:30pt;"">+</div>","","","","","",""
"","","","","","lexical_decision","audio-button-response","5","17125","0.0-4.0-1.0","4","1","2024-04-09 07:23:14","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","8o34ygt6clr","","475","1","sheep.wav","sheep.png","cheese.png","fox.png","yes","sheep.png","[""fox.png"",""cheese.png"",""sheep.png""]"
"","","","","","fixation","html-keyboard-response","6","19128","0.0-4.0-0.1","4","1","2024-04-09 07:23:14","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","8o34ygt6clr","","null","null","<div style=""font-size:30pt;"">+</div>","","","","","",""
"","","","","","lexical_decision","audio-button-response","7","19487","0.0-4.0-1.1","4","1","2024-04-09 07:23:14","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","8o34ygt6clr","","357","0","heart.wav","cucumber.png","pumpkin.png","heart.png","yes","heart.png","[""heart.png"",""pumpkin.png"",""cucumber.png""]"
"","","","","","fixation","html-keyboard-response","8","21493","0.0-4.0-0.2","4","1","2024-04-09 07:23:14","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","8o34ygt6clr","","null","null","<div style=""font-size:30pt;"">+</div>","","","","","",""
"","","","","","lexical_decision","audio-button-response","9","21966","0.0-4.0-1.2","4","1","2024-04-09 07:23:14","970eb555d25350035b1a478df6c9206c","109.81.166.135","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","Macintosh","Chrome","123.0.0.0","OS X","10_15_7","null","en-GB,en-US;q=0.9,en;q=0.8","8o34ygt6clr","","475","1","banxna.wav","banana.png","sheep.png","cheese.png","no","banana.png","[""cheese.png"",""sheep.png"",""banana.png""]"
